id,date,province,confirmed,deceased
1,2020-06-30,Seoul,1312,7
2,2020-06-30,Busan,154,3
3,2020-06-30,Daegu,6906,189
4,2020-06-30,Incheon,341,1
5,2020-06-30,Gwangju,44,0
6,2020-06-30,Daejeon,117,1
7,2020-06-30,Ulsan,55,1
8,2020-06-30,Sejong,50,0
9,2020-06-30,Gyeonggi-do,1207,23
10,2020-06-30,Gangwon-do,65,3
11,2020-06-30,Chungcheongbuk-do,65,0
12,2020-06-30,Chungcheongnam-do,167,0
13,2020-06-30,Jeollabuk-do,27,0
14,2020-06-30,Jeollanam-do,24,0
15,2020-06-30,Gyeongsangbuk-do,1389,54
16,2020-06-30,Gyeongsangnam-do,134,0
17,2020-06-30,Jeju-do,19,0
