id,code,province,date,avg_temp,min_temp,max_temp,avg_relative_humidity
1,10000,Seoul,1/1/2016,1.2,-3.3,4,73
2,11000,Busan,1/1/2016,5.3,1.1,10.9,52.1
3,12000,Daegu,1/1/2016,1.7,-4,8,70.5
4,13000,Gwangju,1/1/2016,3.2,-1.5,8.1,73.1
5,14000,Incheon,1/1/2016,3.1,-0.4,5.7,83.9
6,15000,Daejeon,1/1/2016,1.6,-4.2,7.7,77.4
7,16000,Ulsan,1/1/2016,4,-1.6,12,53.3
8,20000,Gyeonggi-do,1/1/2016,1.6,-4.2,5.7,80.1
9,30000,Gangwon-do,1/1/2016,5.1,2.1,8.9,33
10,40000,Chungcheongbuk-do,1/1/2016,-1,-5.9,4.1,79.4
11,41000,Chungcheongnam-do,1/1/2016,2.6,-4.4,7.5,86.3
12,50000,Jeollabuk-do,1/1/2016,2.8,-2,7.7,74.4
13,51000,Jeollanam-do,1/1/2016,4.5,0.6,8.7,54.5
14,60000,Gyeongsangbuk-do,1/1/2016,3.5,-2.1,8.2,47.6
15,61000,Gyeongsangnam-do,1/1/2016,2.5,-2,7.9,59.1
16,70000,Jeju-do,1/1/2016,8.2,5.2,10.8,60.1
17,10000,Seoul,1/2/2016,5.7,1,9.5,76.9
18,11000,Busan,1/2/2016,8.1,4.6,12.2,62.9
19,12000,Daegu,1/2/2016,3,-2.7,9.9,74.8
20,13000,Gwangju,1/2/2016,6.5,1.3,12.7,78.6
21,14000,Incheon,1/2/2016,7.4,4,11.1,93.1
22,15000,Daejeon,1/2/2016,6.6,2,12.3,76.5
23,16000,Ulsan,1/2/2016,5.6,0.3,14.2,61
24,20000,Gyeonggi-do,1/2/2016,5.8,1.2,10.3,83.1
25,30000,Gangwon-do,1/2/2016,9.1,5.5,11.2,43.8
26,40000,Chungcheongbuk-do,1/2/2016,3.5,0.4,9.9,74.9
27,41000,Chungcheongnam-do,1/2/2016,6.5,3.6,10.6,91.4
28,50000,Jeollabuk-do,1/2/2016,7.6,2.7,12.9,73.3
29,51000,Jeollanam-do,1/2/2016,7.1,3.9,11.3,63.8
30,60000,Gyeongsangbuk-do,1/2/2016,7.5,2.7,12.6,50.5
31,61000,Gyeongsangnam-do,1/2/2016,4.3,-0.1,9.4,67.6
32,70000,Jeju-do,1/2/2016,12.5,7.8,16.8,62.6
33,10000,Seoul,1/3/2016,6.5,5.1,9.4,80.6
34,11000,Busan,1/3/2016,11.4,7.9,16.6,68.3
35,12000,Daegu,1/3/2016,4.9,-2.3,13.9,77
36,13000,Gwangju,1/3/2016,7.3,3.7,13.7,78.9
37,14000,Incheon,1/3/2016,5.9,4.8,7.9,98
38,15000,Daejeon,1/3/2016,6.9,1,14.1,83.5
39,16000,Ulsan,1/3/2016,7,0.7,15.6,76.4
40,20000,Gyeonggi-do,1/3/2016,6,2.7,10.7,92.1
41,30000,Gangwon-do,1/3/2016,9,5.3,13.8,55.8
42,40000,Chungcheongbuk-do,1/3/2016,3.6,-1.6,11.4,81
43,41000,Chungcheongnam-do,1/3/2016,6.2,2.7,10.7,93.4
44,50000,Jeollabuk-do,1/3/2016,8.4,5.4,14,81.1
45,51000,Jeollanam-do,1/3/2016,9.1,6,13.6,72.4
46,60000,Gyeongsangbuk-do,1/3/2016,9.2,3.6,14.9,53.3
47,61000,Gyeongsangnam-do,1/3/2016,6.7,1.3,14,77.5
48,70000,Jeju-do,1/3/2016,13,10.5,16.2,67
49,10000,Seoul,1/4/2016,2,-2.5,5.3,54.4
50,11000,Busan,1/4/2016,10.4,7.6,15.2,46.3
51,12000,Daegu,1/4/2016,5.8,1.1,11.4,58.1
52,13000,Gwangju,1/4/2016,6.4,2.3,11.4,66.5
53,14000,Incheon,1/4/2016,2.2,-1.8,5.2,72.9
54,15000,Daejeon,1/4/2016,5.1,-0.5,9.6,62.5
55,16000,Ulsan,1/4/2016,7.7,3,13.9,52.8
56,20000,Gyeonggi-do,1/4/2016,3.7,-1,7.5,54.4
57,30000,Gangwon-do,1/4/2016,7.4,3.3,12,33.8
58,40000,Chungcheongbuk-do,1/4/2016,3.9,-2.8,8,54.3
59,41000,Chungcheongnam-do,1/4/2016,2.8,-3.2,6.7,73.6
60,50000,Jeollabuk-do,1/4/2016,5.9,1.6,9.6,70.1
61,51000,Jeollanam-do,1/4/2016,9.9,7.2,14.2,40.1
62,60000,Gyeongsangbuk-do,1/4/2016,7.7,2.3,11.5,41
63,61000,Gyeongsangnam-do,1/4/2016,7.5,3.1,12.3,55.1
64,70000,Jeju-do,1/4/2016,11.7,10.9,12.9,66.3
65,10000,Seoul,1/5/2016,-2.7,-4.8,1.5,39.4
66,11000,Busan,1/5/2016,5.3,3.2,8.1,40.9
67,12000,Daegu,1/5/2016,2.9,0.9,5.9,29.4
68,13000,Gwangju,1/5/2016,2.4,-0.7,5.8,40.3
69,14000,Incheon,1/5/2016,-1.9,-3.6,0.2,46.3
70,15000,Daejeon,1/5/2016,-0.6,-3.4,3.7,45.4
71,16000,Ulsan,1/5/2016,3.9,0.7,7.8,31.9
72,20000,Gyeonggi-do,1/5/2016,-1.1,-3.4,2.6,39.6
73,30000,Gangwon-do,1/5/2016,3,0.4,7.7,16.3
74,40000,Chungcheongbuk-do,1/5/2016,-2,-6.1,2.7,46.5
75,41000,Chungcheongnam-do,1/5/2016,-1.1,-5.4,1.4,59.3
76,50000,Jeollabuk-do,1/5/2016,0.7,-1.9,4.1,53
77,51000,Jeollanam-do,1/5/2016,5,3,7.2,49
78,60000,Gyeongsangbuk-do,1/5/2016,2.5,0.6,6.2,24.9
79,61000,Gyeongsangnam-do,1/5/2016,2.6,0.9,6.7,41.1
80,70000,Jeju-do,1/5/2016,8.5,6.6,11.1,66.9
81,10000,Seoul,1/6/2016,-1.7,-4.9,1.7,54.3
82,11000,Busan,1/6/2016,4.8,1.8,9.9,34.5
83,12000,Daegu,1/6/2016,2.2,-0.8,5.8,47.5
84,13000,Gwangju,1/6/2016,3.3,-1,7.5,54.1
85,14000,Incheon,1/6/2016,-0.3,-2.4,2.5,64.9
86,15000,Daejeon,1/6/2016,-0.1,-5.6,5.4,62.9
87,16000,Ulsan,1/6/2016,3.9,0.2,8.7,34.1
88,20000,Gyeonggi-do,1/6/2016,-0.7,-4.6,3.7,57.9
89,30000,Gangwon-do,1/6/2016,1.9,-0.6,5.8,30.3
90,40000,Chungcheongbuk-do,1/6/2016,-2.1,-7.8,2.7,56.5
91,41000,Chungcheongnam-do,1/6/2016,0.4,-5.8,4,77.6
92,50000,Jeollabuk-do,1/6/2016,1.5,-3.2,5.4,61.6
93,51000,Jeollanam-do,1/6/2016,4.4,0.9,8.1,42.4
94,60000,Gyeongsangbuk-do,1/6/2016,1.7,-2.2,5.5,33.4
95,61000,Gyeongsangnam-do,1/6/2016,2.5,-0.4,5.8,41
96,70000,Jeju-do,1/6/2016,7.3,5.7,8.7,63.4
97,10000,Seoul,1/7/2016,-3.4,-5.9,1.4,51.8
98,11000,Busan,1/7/2016,3.9,1.1,8.5,47.3
99,12000,Daegu,1/7/2016,1.7,-0.7,5.3,50.4
100,13000,Gwangju,1/7/2016,2.7,1.2,5.2,63.4
101,14000,Incheon,1/7/2016,-2.1,-3.7,1.4,61.6
102,15000,Daejeon,1/7/2016,0.1,-2.6,4.1,59.4
103,16000,Ulsan,1/7/2016,3.3,0.6,7.2,38.6
104,20000,Gyeonggi-do,1/7/2016,-1.8,-5.6,3,52.6
105,30000,Gangwon-do,1/7/2016,1.3,-1.6,6.1,29.3
106,40000,Chungcheongbuk-do,1/7/2016,-3.4,-7.6,2.5,54.5
107,41000,Chungcheongnam-do,1/7/2016,0.2,-1,2.3,66
108,50000,Jeollabuk-do,1/7/2016,1.1,-0.2,4.5,62.4
109,51000,Jeollanam-do,1/7/2016,3.5,1.4,6.6,47.8
110,60000,Gyeongsangbuk-do,1/7/2016,1.2,-1.9,4.6,33.3
111,61000,Gyeongsangnam-do,1/7/2016,2.4,-0.4,7,47.1
112,70000,Jeju-do,1/7/2016,7,6.3,8.2,57.6
113,10000,Seoul,1/8/2016,-3.3,-6.9,1,49.8
114,11000,Busan,1/8/2016,2.5,-0.5,6.9,44.1
115,12000,Daegu,1/8/2016,0.8,-1.8,4.5,49.4
116,13000,Gwangju,1/8/2016,1.2,-0.2,4.8,81
117,14000,Incheon,1/8/2016,-1.9,-5.1,1.8,64.1
118,15000,Daejeon,1/8/2016,-1,-4.2,3.4,62
119,16000,Ulsan,1/8/2016,2.2,-0.6,6.7,38.5
120,20000,Gyeonggi-do,1/8/2016,-1.5,-7.3,3.1,54
121,30000,Gangwon-do,1/8/2016,0.5,-2.2,4.4,24
122,40000,Chungcheongbuk-do,1/8/2016,-3.5,-8.9,2.2,53.3
123,41000,Chungcheongnam-do,1/8/2016,-0.9,-4.4,2.9,80.1
124,50000,Jeollabuk-do,1/8/2016,0.9,-2,4.1,67.8
